Stream,Dist,Proportion_Downstream,W_2019,W_1957,Curve,Curvepos,Slump,Migdist,MR,Mignorm,MRnorm
SC,3090,0.664516129,40.8,41.54,0.008570827,0.008570827,4,3.41,0.055,0.082089552,0.001348039
SC,3120,0.670967742,44.95,40.38,0.00712085,0.00712085,1,1.92,0.030967742,0.047548291,0.000688938
SC,3150,0.677419355,43.27,35.93,0.004037697,0.004037697,2,3.65,0.058870968,0.101586418,0.001360549
SC,3180,0.683870968,39.87,34.96,0.000669071,0.000669071,1,0.32,0.00516129,0.009153318,0.000129453
SC,3210,0.690322581,44.96,34.32,-0.002106121,0.002106121,6,1.73,0.027903226,0.050407925,0.000620623
SC,3240,0.696774194,46.37,35.64,-0.003251589,0.003251589,2,3.78,0.060967742,0.106060606,0.00131481
SC,3270,0.703225806,45.92,34.96,-0.002540982,0.002540982,2,7.81,0.125967742,0.223398169,0.0027432
SC,3300,0.709677419,45.35,37.14,-0.001279568,0.001279568,0,2.48,0.04,0.066774367,0.000882029
SC,3330,0.716129032,45.32,39.26,-0.001343321,0.001343321,2,2.46,0.039677419,0.062659195,0.000875495
SC,3360,0.722580645,44.6,40.94,-0.0034061,0.0034061,0,2.49,0.04016129,0.060820713,0.000900477
SC,3390,0.729032258,44.06,43.13,-0.007288405,0.007288405,4,2.5,0.040322581,0.057964294,0.000915174
SC,3420,0.735483871,56.94,55.3,-0.011411345,0.011411345,7,9.27,0.149516129,0.167631103,0.002625854
SC,3450,0.741935484,68.31,67.91,-0.013278888,0.013278888,3,9.11,0.146935484,0.134148137,0.00215101
SC,3480,0.748387097,74.51,75.58,-0.012276178,0.012276178,0,7.17,0.115645161,0.094866367,0.001552076
SC,3510,0.75483871,70.78,72.23,-0.01099047,0.01099047,2,4.07,0.065645161,0.056347778,0.000927454
SC,3540,0.761290323,62.64,58,-0.009988445,0.009988445,0,1.66,0.026774194,0.02862069,0.00042743
SC,3570,0.767741935,55.66,53.17,-0.008186579,0.008186579,7,0.75,0.012096774,0.014105699,0.000217333
SC,3600,0.774193548,56.02,48.93,-0.005291504,0.005291504,1,6.44,0.103870968,0.131616595,0.001854177
SC,3630,0.780645161,44.41,40.27,-0.002394287,0.002394287,2,8.11,0.130806452,0.201390613,0.002945428
SC,3660,0.787096774,47.69,38.79,-0.00062336,0.00062336,1,5.19,0.083709677,0.13379737,0.001755288
SC,3690,0.793548387,57.66,48.57,-0.000319332,0.000319332,1,7.81,0.125967742,0.160798847,0.002184664
SC,3720,0.8,68.15,56.68,-0.001211372,0.001211372,1,11.62,0.187419355,0.205010586,0.002750101
SC,3750,0.806451613,75,61.39,-0.002220385,0.002220385,2,15.08,0.243225806,0.245642613,0.003243011
SC,3780,0.812903226,72.67,57.02,-0.002728977,0.002728977,1,18.23,0.294032258,0.319712382,0.00404613
SC,3810,0.819354839,70.51,54.47,-0.002964362,0.002964362,3,17.73,0.285967742,0.325500275,0.004055705
SC,3840,0.825806452,68.36,54.63,-0.002861755,0.002861755,0,17.14,0.276451613,0.313747025,0.004044055
SC,3870,0.832258065,68.44,55.4,-0.00220825,0.00220825,0,13.39,0.215967742,0.241696751,0.003155578
SC,3900,0.838709677,68.64,56.09,-0.000719188,0.000719188,1,11.51,0.185645161,0.205205919,0.002704621
SC,3930,0.84516129,70.63,57.63,0.001730197,0.001730197,5,7.59,0.122419355,0.131702238,0.001733249
SC,3960,0.851612903,66.5,51.4,0.004490813,0.004490813,5,2.42,0.039032258,0.047081712,0.000586951
SC,3990,0.858064516,65.19,52.09,0.006570896,0.006570896,3,2.2,0.035483871,0.042234594,0.000544315
SC,4020,0.864516129,72.88,53.2,0.006677179,0.006677179,0,4.98,0.080322581,0.093609023,0.001102121
SC,4050,0.870967742,74.01,55.05,0.00591215,0.00591215,0,5.97,0.096290323,0.108446866,0.001301045
SC,4080,0.877419355,72.37,51.37,0.005233155,0.005233155,6,0.49,0.007903226,0.009538641,0.000109206
SC,4110,0.883870968,66.99,48.32,0.004851646,0.004851646,7,0.11,0.001774194,0.00227649,2.64845E-05
SC,4140,0.890322581,71.73,50.15,0.004447442,0.004447442,2,0.64,0.010322581,0.012761715,0.000143909
SC,4170,0.896774194,74.57,57.22,0.003720051,0.003720051,4,3.86,0.062258065,0.06745893,0.000834894
SC,4200,0.903225806,71.27,53.94,0.003202881,0.003202881,4,0.76,0.012258065,0.014089729,0.000171995
SC,4230,0.909677419,73.06,56.69,0.003262669,0.003262669,3,1.19,0.019193548,0.020991357,0.000262709
SC,4260,0.916129032,73.32,58.11,0.003854263,0.003854263,7,0.6,0.009677419,0.010325245,0.000131989
SC,4290,0.922580645,75,61.7,0.004167957,0.004167957,3,3.18,0.051290323,0.051539708,0.000683871
SC,4320,0.929032258,83.84,69.35,0.003015187,0.003015187,6,6.51,0.105,0.093871665,0.001252385
SC,4350,0.935483871,93.83,72.94,0.000795485,0.000795485,0,0.4,0.006451613,0.005483959,6.87585E-05
SC,4380,0.941935484,94.57,70.76,-0.001903512,0.001903512,1,5.2,0.083870968,0.073487846,0.000886867
SC,4410,0.948387097,102.48,68.72,-0.004220804,0.004220804,0,9.2,0.148387097,0.133876601,0.001447962
SC,4440,0.95483871,103.9,68.54,-0.005739476,0.005739476,0,13.19,0.212741935,0.192442369,0.002047564
SC,4470,0.961290323,101.78,70.06,-0.006492951,0.006492951,0,11.85,0.191129032,0.169140737,0.001877864
SC,4500,0.967741935,84.74,60.11,-0.006611446,0.006611446,0,11.78,0.19,0.195974048,0.002242152
SC,4530,0.974193548,83.68,54.11,-0.006526411,0.006526411,0,7.49,0.120806452,0.138421734,0.001443672
SC,4560,0.980645161,72.87,50.69,-0.006343124,0.006343124,0,7.84,0.126451613,0.154665615,0.001735304
SC,4590,0.987096774,70.71,51.72,-0.005884161,0.005884161,0,3.26,0.052580645,0.063031709,0.00074361
SC,4620,0.993548387,80.32,52.57,-0.005141444,0.005141444,0,2.47,0.03983871,0.046984972,0.000496
SC,4650,1,103.32,75.78,-0.003604111,0.003604111,0,2.45,0.039516129,0.03233043,0.000382464
CHC,30,0.009174312,4.66,1.87,0.021218629,0.021218629,1,0.05,0.000806452,0.026737968,0.000173058
CHC,60,0.018348624,4.76,2.51,-0.006370697,0.006370697,1,0.91,0.014677419,0.362549801,0.003083491
CHC,90,0.027522936,4.48,2.55,-0.014426104,0.014426104,1,0.75,0.012096774,0.294117647,0.002700173
CHC,120,0.036697248,5.37,3.4,-0.009072587,0.009072587,2,0.57,0.009193548,0.167647059,0.00171202
CHC,150,0.04587156,3.89,2.53,0.003335352,0.003335352,5,0.26,0.004193548,0.102766798,0.001078033
CHC,180,0.055045872,5.96,2.12,0.014072855,0.014072855,11,0.41,0.006612903,0.193396226,0.001109548
CHC,210,0.064220183,5.61,1.98,0.018969784,0.018969784,6,0.4,0.006451613,0.202020202,0.00115002
CHC,240,0.073394495,5.07,3.23,0.009215668,0.009215668,3,2.45,0.039516129,0.758513932,0.007794108
